id,run_time,symbol,crowd_ls_ratio,crowd_taker_buy,crowd_vetoed,crowd_veto_reason,cascade_count,cascade_usd,cascade_vetoed,cascade_veto_reason,crowded_symbols
2,2026-07-05 05:53:58.117267,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
3,2026-07-05 06:09:06.048648,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
4,2026-07-05 08:09:58.543999,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
5,2026-07-05 08:25:04.906433,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
6,2026-07-07 09:56:49.123472,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT,XRPUSDT}"
7,2026-07-07 10:12:02.658461,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
8,2026-07-07 18:16:02.195157,ALL,,,f,,0,0.00,f,,"{BTCUSDT,ETHUSDT}"
9,2026-07-07 18:31:08.417613,ALL,,,f,,0,0.00,f,,"{BTCUSDT,ETHUSDT}"
10,2026-07-08 19:43:08.846051,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
11,2026-07-09 01:46:12.128109,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
12,2026-07-09 02:01:19.177848,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
13,2026-07-09 03:17:00.560268,ALL,,,f,,0,0.00,f,,"{ETHUSDT,BTCUSDT}"
14,2026-07-09 14:23:33.635183,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
15,2026-07-09 14:38:41.680326,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
16,2026-07-09 14:53:50.766012,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
17,2026-07-09 15:08:59.674209,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
18,2026-07-09 15:39:19.526789,ALL,,,f,,0,0.00,f,,"{BTCUSDT,XRPUSDT}"
19,2026-07-10 02:00:06.477432,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
20,2026-07-10 02:15:14.443906,ALL,,,f,,0,0.00,f,,"{BTCUSDT,SOLUSDT}"
